frame,cpu_ms,gpu_ms
1,84.8318,1.60379
2,23.6159,1.13746
3,4.33958,1.25521
4,6.47371,1.26838
5,16.7013,1.4315
6,19.4671,1.26233
7,9.67042,1.25929
8,3.56263,1.11479
9,14.1679,1.1205
10,3.77237,2.24096
11,11.7664,1.13379
12,3.69696,1.15638
13,13.2779,1.16721
14,3.79479,1.14996
15,12.4202,1.20625
16,4.69742,1.14775
17,12.0681,1.17708
18,4.40692,1.17717
19,12.5598,1.19471
20,5.14675,1.17308
21,14.5646,1.11637
22,2.27104,1.10563
23,27.6337,1.10454
24,4.06,1.11529
25,12.5684,1.1075
26,3.49904,1.12662
27,13.5489,1.11187
28,3.144,1.10512
29,13.0454,1.10521
30,3.96817,2.28512
31,12.5397,1.11738
32,2.98371,1.12167
33,13.6442,1.13617
34,3.18879,1.11521
35,13.7558,1.10275
36,4.39171,2.061
37,11.8706,1.08808
38,2.96729,1.10171
39,13.8907,1.14133
40,3.61696,2.21225
41,13.3353,1.10262
42,3.89383,2.25537
43,12.19,1.108
44,3.93104,2.43275
45,12.7388,1.12613
46,4.71871,2.19717
47,11.9323,1.22296
48,4.14288,1.13496
49,12.8625,1.15413
50,4.78125,1.09704
51,11.5916,1.21092
52,5.33267,1.10763
53,11.2909,1.18492
54,5.28971,1.18962
55,11.3709,1.26383
56,4.98129,1.11921
57,11.6446,1.22188
58,5.29887,1.15925
59,11.35,1.25542
60,5.06058,1.182
61,11.5936,1.18442
62,5.1545,1.20087
63,11.5285,1.25621
64,5.16079,1.10179
65,11.4924,1.22637
66,5.28846,1.18879
67,11.3424,1.2385
68,5.21204,1.19975
69,11.467,1.26038
70,5.43575,1.20725
71,11.2149,1.24313
72,5.05025,1.16492
73,11.6092,1.18883
74,5.338,1.19425
75,11.3257,1.2105
76,5.19325,1.16467
77,11.487,1.23883
78,6.28508,1.19571
79,10.3802,1.19275
80,5.30138,1.2075
81,11.3264,1.22321
82,5.28062,1.156
83,11.3848,1.19767
84,5.29454,1.18925
85,11.3616,1.25183
86,5.28229,1.19792
87,11.4095,1.22775
88,5.17446,1.1895
89,11.474,1.19312
90,5.33529,1.19446
91,11.314,1.25387
92,5.40337,1.23788
93,11.4884,1.25104
94,5.93858,1.18192
95,10.5765,1.29238
96,6.46583,1.19625
97,10.1824,1.16725
98,8.97075,1.176
99,13.2528,1.13996
100,2.77358,1.19404
101,8.26538,1.12488
102,5.41913,1.117
103,11.6106,1.22287
104,4.49613,1.17371
105,12.2253,1.21854
106,4.51875,1.17929
107,11.7632,1.1995
108,4.2605,1.14871
109,12.3397,1.24875
110,4.15133,1.11338
111,12.4525,1.17296
112,3.72658,1.79475
113,12.9288,1.24925
114,3.60058,1.7445
115,13.0326,1.15837
116,3.71062,1.17071
117,12.9297,1.20962
118,4.99571,1.1765
119,11.6538,1.18463
120,5.10554,1.18242
121,11.5613,1.20779
122,5.074,1.1515
123,11.5781,1.25058
124,5.42025,1.15254
125,11.2554,1.23704
126,4.99388,1.18138
127,12.0471,1.25267
128,4.28488,1.19671
129,12.2546,1.17821
130,4.95388,1.19825
131,11.5287,1.16354
132,5.12967,1.12442
133,11.4935,1.1305
134,5.04512,1.18283
135,11.601,1.25071
136,5.06867,1.18725
137,11.9119,1.21263
138,4.97721,1.18071
139,11.7074,1.18188
140,4.43079,1.1725
141,12.0351,1.17013
142,4.836,1.15917
143,11.8483,1.1525
144,4.70062,1.17962
145,11.9522,1.17083
146,4.71046,1.17967
147,11.792,1.1845
148,5.44262,1.16338
149,11.374,1.25296
150,5.3135,1.18158
151,10.9707,1.221
152,6.5035,1.18863
153,10.0791,1.16404
154,5.40804,1.17762
155,10.8989,1.23504
156,6.46117,1.18725
157,10.2243,1.19429
158,5.944,1.21812
159,10.9346,1.18421
160,4.82433,1.146
161,11.9109,1.18621
162,4.5845,1.12729
163,11.8098,1.1825
164,5.21021,1.1295
165,11.7384,1.18275
166,4.39617,1.13867
167,12.102,1.192
168,3.62879,1.74146
169,12.7517,1.23863
170,3.64204,1.81492
171,13.0312,1.14237
172,4.31987,2.2525
173,12.2832,1.24025
174,4.40525,2.29
175,12.2672,1.17487
176,4.45162,2.35938
177,12.25,1.17796
178,4.06179,1.71775
179,12.5703,1.19129
180,3.86508,1.18033
181,12.8123,1.173
182,3.97296,1.18079
183,12.6413,1.24504
184,3.69042,1.76188
185,13.0241,1.2395
186,3.83571,1.16787
187,12.7556,1.22825
188,4.30046,1.14608
189,12.351,1.18329
190,4.71958,1.14121
191,11.9211,1.19863
192,4.88762,1.16862
193,12.212,1.26338
194,4.51042,1.191
195,11.7811,1.18108
196,5.16417,1.18746
197,11.7133,1.24392
198,4.81425,1.20004
199,11.5765,1.25812
200,4.85262,1.19512
201,11.7163,1.23125
202,5.31317,1.19167
203,11.3284,1.22338
204,4.9095,1.19312
205,11.8782,1.18588
206,4.77508,1.19938
207,11.678,1.23471
208,5.38417,1.20542
209,11.3567,1.22762
210,5.79304,1.20546
211,11.0209,1.21237
212,6.33812,1.203
213,10.0864,1.16767
214,6.24287,1.15804
215,10.182,1.24162
216,5.20092,1.15283
217,11.3204,1.2505
218,5.33279,1.195
219,11.4208,1.21704
220,5.36679,1.21125
221,11.0883,1.257
222,5.57888,1.21113
223,11.0798,1.20675
224,5.33012,1.2035
225,12.1862,1.19325
226,5.42258,2.02029
227,10.3358,1.18663
228,4.60071,1.19942
229,11.755,1.24183
230,3.92154,1.202
231,12.4412,1.2155
232,4.10575,1.21638
233,13.2003,1.21887
234,3.83092,1.77725
235,12.6388,1.24792
236,3.66962,1.72142
237,12.9069,1.20237
238,4.04529,1.22171
239,12.5164,1.20479
240,3.86783,1.7675
241,12.5085,1.22713
242,4.15925,1.18387
243,12.3539,1.28825
244,4.24887,1.84137
245,12.529,1.31062
246,4.4945,1.23921
247,12.16,1.22429
248,4.68446,1.25587
249,11.8548,1.22663
250,4.31254,1.24925
251,12.2417,1.26804
252,4.44317,1.257
253,12.227,1.27412
254,4.49313,1.24946
255,12.2992,1.21996
256,4.39496,1.8885
257,12.0817,1.275
258,4.89863,1.25012
259,11.6336,1.23275
260,4.60208,1.25713
261,11.9594,1.25592
262,5.06712,1.26425
263,11.5495,1.27971
264,4.82596,1.25083
265,11.828,1.23567
266,4.39454,1.257
267,12.106,1.29188
268,4.57429,1.25483
269,12.1775,1.26325
